presFesto-1 [V]	AWM5-5 [V]	SSCDP15-3 [V]
5.423	1.180	2.679
5.426	1.181	2.679
5.424	1.180	2.678
5.426	1.180	2.679
5.424	1.180	2.679
5.425	1.180	2.678
5.423	1.180	2.680
5.425	1.180	2.679
5.424	1.181	2.678
5.423	1.180	2.679
5.423	1.181	2.678
5.422	1.181	2.679
5.424	1.180	2.679
5.424	1.180	2.679
5.425	1.180	2.679
5.424	1.180	2.678
5.423	1.181	2.679
5.424	1.181	2.679
5.426	1.181	2.677
5.426	1.180	2.679
5.425	1.181	2.679
5.426	1.180	2.678
5.424	1.180	2.679
5.423	1.181	2.679
5.423	1.180	2.679
5.427	1.181	2.678
5.423	1.181	2.678
5.425	1.180	2.679
5.424	1.180	2.679
5.427	1.181	2.678
5.423	1.180	2.680
5.426	1.181	2.679
5.424	1.180	2.679
5.424	1.180	2.679
5.424	1.180	2.679
5.423	1.180	2.679
5.424	1.180	2.679
5.422	1.181	2.678
5.425	1.180	2.679
5.422	1.181	2.679
5.423	1.181	2.679
5.422	1.180	2.679
5.424	1.181	2.679
5.424	1.180	2.678
5.427	1.180	2.679
5.424	1.180	2.677
5.425	1.180	2.679
5.423	1.180	2.679
5.425	1.181	2.679
5.423	1.180	2.679
5.426	1.180	2.678
5.424	1.180	2.680
5.426	1.180	2.678
5.423	1.180	2.678
5.425	1.181	2.679
5.426	1.181	2.679
5.427	1.180	2.679
5.424	1.181	2.680
5.422	1.180	2.679
5.424	1.180	2.679
5.424	1.180	2.680
5.425	1.180	2.680
5.423	1.180	2.678
5.422	1.180	2.679
5.424	1.179	2.679
5.425	1.181	2.679
5.423	1.180	2.678
5.423	1.180	2.680
5.426	1.180	2.679
5.422	1.180	2.679
5.426	1.181	2.680
5.424	1.180	2.681
5.424	1.180	2.679
5.426	1.180	2.678
5.427	1.181	2.679
5.427	1.180	2.680
5.428	1.180	2.678
5.425	1.181	2.679
5.425	1.181	2.680
5.425	1.180	2.679
5.423	1.180	2.679
5.424	1.180	2.679
5.424	1.180	2.678
5.426	1.180	2.678
5.427	1.180	2.679
5.424	1.180	2.680
5.424	1.180	2.680
5.425	1.181	2.678
5.424	1.180	2.679
5.423	1.181	2.679
5.423	1.180	2.679
5.426	1.180	2.680
5.423	1.181	2.679
5.425	1.181	2.679
5.425	1.181	2.679
5.426	1.181	2.679
5.423	1.180	2.679
5.424	1.181	2.678
5.425	1.181	2.679
5.424	1.180	2.679
5.426	1.181	2.679
5.423	1.180	2.679
5.426	1.180	2.679
5.425	1.181	2.679
5.424	1.180	2.679
5.426	1.180	2.679
5.423	1.180	2.679
5.425	1.180	2.679
5.425	1.180	2.680
5.424	1.180	2.679
5.426	1.180	2.679
5.424	1.180	2.679
5.426	1.181	2.680
5.424	1.180	2.679
5.423	1.180	2.679
5.425	1.180	2.679
5.423	1.181	2.679
5.425	1.180	2.679
5.422	1.180	2.679
5.425	1.180	2.679
5.423	1.180	2.679
5.426	1.181	2.678
5.426	1.180	2.679
5.423	1.180	2.679
5.425	1.180	2.680
5.423	1.179	2.679
5.427	1.180	2.680
5.424	1.180	2.679
5.426	1.180	2.679
5.426	1.180	2.679
5.424	1.180	2.679
5.423	1.180	2.679
5.424	1.180	2.679
5.423	1.180	2.680
5.425	1.181	2.679
5.424	1.181	2.679
5.426	1.180	2.678
5.423	1.180	2.678
5.424	1.180	2.679
5.424	1.180	2.679
5.425	1.181	2.680
5.424	1.180	2.679
5.421	1.180	2.679
5.423	1.181	2.679
5.426	1.181	2.679
5.425	1.180	2.680
5.422	1.180	2.678
5.427	1.181	2.679
5.424	1.180	2.679
5.426	1.181	2.679
5.425	1.180	2.679
5.426	1.181	2.678
5.425	1.180	2.681
5.427	1.181	2.679
5.423	1.181	2.680
5.423	1.181	2.680
5.425	1.180	2.678
5.428	1.181	2.679
5.425	1.181	2.679
5.424	1.180	2.678
5.425	1.181	2.679
5.426	1.181	2.679
5.425	1.180	2.680
5.424	1.181	2.679
5.425	1.181	2.678
5.423	1.180	2.679
5.425	1.181	2.679
5.425	1.180	2.680
5.424	1.180	2.679
5.425	1.180	2.678
5.421	1.180	2.679
5.423	1.181	2.679
5.422	1.181	2.678
5.426	1.180	2.680
5.424	1.181	2.679
5.426	1.181	2.680
5.425	1.181	2.679
5.425	1.181	2.679
5.425	1.180	2.681
5.426	1.181	2.679
5.424	1.180	2.679
5.427	1.180	2.679
5.425	1.180	2.680
5.424	1.181	2.679
5.423	1.180	2.679
5.422	1.181	2.679
5.424	1.180	2.679
5.423	1.180	2.679
5.424	1.180	2.678
5.424	1.180	2.680
5.424	1.180	2.680
5.425	1.181	2.678
5.425	1.180	2.679
5.422	1.181	2.679
5.425	1.180	2.680
5.425	1.180	2.680
5.425	1.181	2.679
5.425	1.180	2.679
5.421	1.181	2.679
5.425	1.180	2.680
5.421	1.181	2.679
5.425	1.180	2.679
5.423	1.180	2.679
5.426	1.180	2.679
5.425	1.180	2.679
5.426	1.180	2.679
5.425	1.180	2.680
5.424	1.180	2.679
5.425	1.181	2.679
5.423	1.180	2.679
5.426	1.181	2.678
5.424	1.180	2.679
5.426	1.181	2.678
5.422	1.180	2.679
5.426	1.180	2.678
5.425	1.180	2.679
5.425	1.181	2.680
5.422	1.181	2.679
5.424	1.181	2.680
5.424	1.180	2.680
5.424	1.180	2.681
5.424	1.180	2.679
5.423	1.180	2.679
5.424	1.180	2.679
5.422	1.180	2.680
5.425	1.180	2.678
5.423	1.179	2.679
5.424	1.180	2.680
5.425	1.180	2.679
5.425	1.181	2.680
5.424	1.180	2.680
5.424	1.180	2.681
5.425	1.180	2.679
5.424	1.180	2.680
5.425	1.180	2.679
5.424	1.180	2.679
5.425	1.180	2.680
5.424	1.180	2.679
5.427	1.180	2.679
5.425	1.180	2.679
5.424	1.181	2.680
5.423	1.180	2.680
5.426	1.180	2.679
5.423	1.181	2.679
5.425	1.180	2.680
5.424	1.180	2.679
5.426	1.181	2.679
5.424	1.180	2.680
5.428	1.181	2.679
5.423	1.180	2.679
5.423	1.181	2.679
5.422	1.180	2.679
5.424	1.181	2.680
5.424	1.181	2.680
5.423	1.180	2.679
5.423	1.181	2.680
5.424	1.181	2.679
5.426	1.180	2.679
5.426	1.180	2.679
5.424	1.181	2.678
5.422	1.180	2.679
5.422	1.180	2.679
5.425	1.180	2.679
5.424	1.180	2.680
5.424	1.181	2.679
5.423	1.180	2.679
5.421	1.180	2.678
5.424	1.180	2.679
5.425	1.180	2.679
5.424	1.180	2.679
5.425	1.181	2.679
5.423	1.180	2.679
5.425	1.180	2.680
5.422	1.180	2.679
5.425	1.180	2.680
5.423	1.180	2.678
5.425	1.181	2.679
5.424	1.180	2.680
5.421	1.180	2.679
5.425	1.180	2.680
5.423	1.181	2.679
5.425	1.180	2.680
5.425	1.180	2.679
5.426	1.180	2.679
5.426	1.180	2.682
5.427	1.181	2.679
5.424	1.180	2.679
5.429	1.180	2.679
5.425	1.180	2.679
5.424	1.180	2.679
5.426	1.181	2.680
5.424	1.180	2.680
5.427	1.180	2.679
5.423	1.180	2.680
5.422	1.180	2.679
5.422	1.180	2.680
5.426	1.181	2.679
5.423	1.180	2.680
5.425	1.180	2.680
5.425	1.181	2.679
5.425	1.180	2.680
5.425	1.180	2.680
5.424	1.180	2.680
5.424	1.180	2.680
5.424	1.180	2.680
5.425	1.180	2.680
5.424	1.180	2.679
5.424	1.180	2.679
5.423	1.180	2.680
5.425	1.180	2.679
5.424	1.180	2.680
5.426	1.180	2.679
5.425	1.180	2.679
5.423	1.181	2.679
5.425	1.181	2.680
5.424	1.181	2.679
5.423	1.180	2.679
5.424	1.181	2.679
5.425	1.181	2.679
5.424	1.180	2.679
5.425	1.180	2.678
5.425	1.180	2.679
5.426	1.180	2.678
5.423	1.181	2.679
5.425	1.180	2.680
5.423	1.180	2.679
5.423	1.180	2.679
5.422	1.180	2.678
5.426	1.180	2.679
5.425	1.180	2.678
5.423	1.181	2.680
5.424	1.180	2.679
5.421	1.180	2.679
5.424	1.180	2.680
5.423	1.180	2.679
5.425	1.180	2.680
5.423	1.181	2.678
5.426	1.180	2.679
5.424	1.181	2.681
5.423	1.180	2.679
5.425	1.180	2.680
5.424	1.180	2.678
5.426	1.180	2.679
5.423	1.180	2.680
5.424	1.180	2.680
5.423	1.180	2.679
5.424	1.180	2.679
5.423	1.181	2.679
5.426	1.180	2.679
5.425	1.180	2.679
5.425	1.180	2.679
5.423	1.180	2.679
5.423	1.181	2.679
5.423	1.180	2.678
5.421	1.180	2.680
5.424	1.181	2.679
5.422	1.180	2.680
5.423	1.181	2.679
5.422	1.180	2.679
5.425	1.180	2.679
5.421	1.180	2.679
5.425	1.180	2.680
5.423	1.180	2.679
5.425	1.180	2.679
5.425	1.180	2.679
5.425	1.181	2.679
5.425	1.180	2.679
5.424	1.181	2.679
5.423	1.181	2.679
5.425	1.180	2.680
5.425	1.180	2.679
5.425	1.180	2.679
5.425	1.180	2.680
5.423	1.180	2.679
5.425	1.180	2.680
5.425	1.180	2.680
5.424	1.180	2.678
5.425	1.180	2.679
5.423	1.181	2.680
5.425	1.180	2.679
5.425	1.181	2.679
5.423	1.181	2.679
5.423	1.180	2.679
5.424	1.181	2.679
5.424	1.181	2.680
5.423	1.180	2.680
5.426	1.180	2.679
5.423	1.181	2.679
5.424	1.180	2.679
5.423	1.180	2.679
5.426	1.180	2.678
5.425	1.180	2.679
5.422	1.181	2.679
5.423	1.180	2.679
5.423	1.181	2.679
5.425	1.181	2.678
5.425	1.181	2.679
5.424	1.180	2.678
5.424	1.181	2.680
5.424	1.181	2.679
5.422	1.180	2.678
5.424	1.180	2.680
5.426	1.180	2.679
5.425	1.181	2.680
5.423	1.181	2.679
5.425	1.181	2.679
5.427	1.180	2.680
5.422	1.181	2.678
5.424	1.180	2.680
5.421	1.180	2.679
5.424	1.181	2.679
5.422	1.180	2.679
5.426	1.181	2.679
5.424	1.180	2.679
5.427	1.181	2.680
5.423	1.180	2.680
5.423	1.180	2.679
5.426	1.180	2.679
5.423	1.180	2.679
5.426	1.180	2.680
5.424	1.181	2.679
5.424	1.181	2.679
5.425	1.180	2.679
5.424	1.180	2.679
5.423	1.180	2.679
5.425	1.180	2.679
5.423	1.180	2.679
5.424	1.180	2.679
5.424	1.180	2.679
5.426	1.181	2.680
5.425	1.180	2.678
5.425	1.181	2.679
5.422	1.181	2.680
5.423	1.181	2.679
5.424	1.181	2.678
5.424	1.180	2.676
5.425	1.180	2.680
5.422	1.181	2.678
5.423	1.181	2.680
5.422	1.181	2.679
5.425	1.181	2.679
5.425	1.180	2.678
5.423	1.181	2.679
5.425	1.180	2.680
5.422	1.181	2.679
5.425	1.180	2.679
5.423	1.181	2.679
5.426	1.181	2.678
5.426	1.180	2.679
5.427	1.180	2.679
5.421	1.180	2.680
5.428	1.180	2.679
5.424	1.180	2.679
5.425	1.181	2.679
5.424	1.180	2.679
5.424	1.181	2.679
5.423	1.181	2.679
5.426	1.181	2.680
5.424	1.180	2.679
5.424	1.181	2.679
5.424	1.180	2.679
5.425	1.180	2.679
5.424	1.180	2.680
5.424	1.181	2.679
5.422	1.180	2.679
5.423	1.180	2.680
5.425	1.180	2.678
5.422	1.180	2.680
5.425	1.180	2.679
5.422	1.180	2.679
5.424	1.180	2.679
5.423	1.180	2.679
5.425	1.180	2.680
5.425	1.181	2.679
5.424	1.181	2.679
5.425	1.180	2.679
5.424	1.181	2.679
5.424	1.180	2.679
5.424	1.181	2.680
5.424	1.181	2.678
5.423	1.180	2.678
5.424	1.181	2.679
5.421	1.180	2.679
5.426	1.180	2.680
5.422	1.180	2.679
5.424	1.180	2.680
5.423	1.181	2.680
5.424	1.180	2.679
5.422	1.180	2.679
5.424	1.180	2.676
5.423	1.180	2.679
5.423	1.180	2.679
5.423	1.181	2.679
5.421	1.181	2.680
5.424	1.181	2.679
5.422	1.181	2.679
5.424	1.181	2.679
5.424	1.181	2.679
5.422	1.180	2.679
5.424	1.181	2.680
5.424	1.181	2.679
5.424	1.181	2.678
5.424	1.181	2.679
5.423	1.181	2.679
5.427	1.181	2.679
5.425	1.181	2.679
5.422	1.181	2.678
5.422	1.181	2.679
5.422	1.180	2.679
5.424	1.180	2.680
5.423	1.180	2.679
5.424	1.181	2.679
5.425	1.180	2.679
5.426	1.181	2.678
5.426	1.181	2.679
5.425	1.180	2.679
5.422	1.180	2.679
5.423	1.180	2.679
5.423	1.180	2.679
5.420	1.181	2.679
5.425	1.181	2.680
5.425	1.180	2.679
5.424	1.181	2.679
5.424	1.180	2.679
5.424	1.180	2.678
5.424	1.180	2.680
5.423	1.181	2.679
5.425	1.180	2.679
5.427	1.180	2.679
5.425	1.181	2.679
5.420	1.180	2.679
5.425	1.180	2.679
5.425	1.180	2.678
5.425	1.180	2.678
5.425	1.181	2.679
5.423	1.181	2.679
5.423	1.181	2.679
5.427	1.181	2.679
5.425	1.181	2.679
5.426	1.181	2.679
5.423	1.181	2.679
5.425	1.180	2.679
5.423	1.181	2.680
5.425	1.180	2.678
5.424	1.180	2.679
5.423	1.180	2.679
5.424	1.180	2.679
5.424	1.180	2.679
5.423	1.181	2.678
5.422	1.180	2.679
5.425	1.180	2.679
5.424	1.181	2.679
5.426	1.180	2.679
5.424	1.180	2.679
5.426	1.181	2.680
5.424	1.181	2.679
5.423	1.181	2.679
5.425	1.180	2.679
5.424	1.181	2.679
5.424	1.181	2.678
5.423	1.180	2.680
5.424	1.181	2.679
5.423	1.180	2.679
5.423	1.181	2.679
5.424	1.180	2.678
5.425	1.180	2.680
5.423	1.180	2.679
5.425	1.180	2.679
5.424	1.180	2.679
5.424	1.181	2.678
5.423	1.181	2.679
5.425	1.181	2.681
5.423	1.180	2.678
5.425	1.181	2.680
5.423	1.181	2.678
5.425	1.180	2.679
5.424	1.181	2.679
5.425	1.180	2.679
5.423	1.180	2.679
5.425	1.181	2.679
5.425	1.180	2.679
5.425	1.180	2.679
5.424	1.180	2.678
5.424	1.179	2.679
5.424	1.180	2.679
5.425	1.180	2.678
5.425	1.180	2.679
5.427	1.180	2.679
5.423	1.181	2.679
5.425	1.180	2.679
5.425	1.180	2.679
5.426	1.181	2.681
5.425	1.181	2.680
5.422	1.181	2.678
5.424	1.180	2.680
5.426	1.181	2.679
5.422	1.180	2.679
5.422	1.181	2.679
5.423	1.181	2.680
5.424	1.180	2.679
5.424	1.180	2.679
5.422	1.181	2.678
5.427	1.180	2.679
5.425	1.180	2.679
5.423	1.180	2.679
5.423	1.180	2.679
5.423	1.180	2.678
5.424	1.180	2.679
5.424	1.181	2.679
5.423	1.180	2.679
5.424	1.180	2.679
5.426	1.181	2.678
5.423	1.180	2.679
5.425	1.180	2.679
5.425	1.180	2.679
5.427	1.181	2.679
5.425	1.181	2.679
5.424	1.181	2.679
5.425	1.180	2.679
5.425	1.180	2.680
5.424	1.180	2.679
5.424	1.180	2.679
5.425	1.180	2.679
5.425	1.179	2.679
5.423	1.180	2.679
5.423	1.180	2.678
5.423	1.181	2.679
5.423	1.180	2.679
5.425	1.180	2.679
5.424	1.181	2.680
5.423	1.181	2.679
5.424	1.180	2.680
5.424	1.180	2.679
5.425	1.180	2.679
5.426	1.181	2.679
5.424	1.181	2.679
5.424	1.180	2.679
5.424	1.181	2.679
5.424	1.181	2.679
5.425	1.181	2.679
5.425	1.181	2.679
5.426	1.181	2.679
5.425	1.180	2.679
5.424	1.180	2.678
5.422	1.180	2.679
5.421	1.181	2.679
5.424	1.181	2.678
5.421	1.180	2.678
5.425	1.181	2.679
5.422	1.181	2.681
5.423	1.180	2.679
5.419	1.181	2.678
5.425	1.180	2.679
5.424	1.180	2.679
5.423	1.181	2.679
5.425	1.180	2.680
5.423	1.181	2.678
5.424	1.181	2.679
5.425	1.180	2.679
5.424	1.180	2.680
5.424	1.180	2.679
5.423	1.181	2.679
5.423	1.181	2.679
5.426	1.180	2.679
5.422	1.181	2.679
5.425	1.180	2.679
5.424	1.181	2.679
5.426	1.180	2.678
5.426	1.180	2.679
5.425	1.181	2.679
5.424	1.180	2.679
5.426	1.181	2.680
5.424	1.180	2.679
5.424	1.181	2.679
5.422	1.180	2.679
5.425	1.181	2.679
5.424	1.181	2.679
5.424	1.181	2.679
5.424	1.181	2.679
5.423	1.180	2.679
5.425	1.181	2.679
5.424	1.181	2.679
5.425	1.181	2.679
5.422	1.181	2.679
5.424	1.180	2.678
5.425	1.181	2.679
5.423	1.181	2.679
5.425	1.180	2.679
5.425	1.181	2.679
5.425	1.180	2.679
5.424	1.180	2.680
5.424	1.181	2.678
5.424	1.180	2.680
5.422	1.181	2.679
5.423	1.181	2.679
5.426	1.180	2.679
5.424	1.181	2.679
5.425	1.181	2.679
5.423	1.180	2.678
5.424	1.180	2.679
5.423	1.180	2.679
5.426	1.180	2.679
5.423	1.180	2.680
5.421	1.180	2.679
5.425	1.181	2.679
5.422	1.181	2.679
5.421	1.181	2.679
5.422	1.181	2.679
5.424	1.181	2.680
5.424	1.181	2.679
5.422	1.180	2.679
5.427	1.181	2.679
5.424	1.181	2.679
5.426	1.181	2.680
5.423	1.181	2.679
5.424	1.181	2.679
5.424	1.180	2.680
5.426	1.181	2.679
5.422	1.181	2.679
5.426	1.180	2.680
5.422	1.180	2.679
5.426	1.180	2.679
5.426	1.181	2.680
5.426	1.180	2.680
5.424	1.180	2.679
5.424	1.180	2.679
5.424	1.181	2.679
5.422	1.181	2.680
5.426	1.180	2.678
5.422	1.180	2.679
5.425	1.181	2.679
5.421	1.180	2.678
5.425	1.180	2.679
5.424	1.180	2.679
5.422	1.181	2.680
5.423	1.181	2.679
5.422	1.181	2.679
5.423	1.180	2.679
5.421	1.181	2.678
5.425	1.181	2.679
5.423	1.181	2.679
5.426	1.181	2.680
5.423	1.181	2.679
5.424	1.181	2.678
5.425	1.181	2.678
5.421	1.181	2.680
5.424	1.181	2.679
5.424	1.181	2.678
5.424	1.180	2.679
5.424	1.181	2.679
5.424	1.181	2.679
5.425	1.180	2.679
5.426	1.181	2.678
5.427	1.180	2.679
5.422	1.181	2.679
5.423	1.181	2.679
5.424	1.181	2.681
5.424	1.181	2.679
5.426	1.181	2.679
5.426	1.181	2.679
5.425	1.181	2.680
5.424	1.181	2.679
5.423	1.181	2.680
5.424	1.181	2.679
5.424	1.181	2.679
5.426	1.181	2.678
5.421	1.181	2.679
5.424	1.181	2.680
5.423	1.180	2.678
5.425	1.181	2.680
5.425	1.180	2.679
5.426	1.180	2.679
5.424	1.181	2.679
5.425	1.181	2.678
5.423	1.181	2.680
5.425	1.181	2.679
5.424	1.181	2.678
5.426	1.181	2.679
5.424	1.181	2.678
5.426	1.181	2.679
5.425	1.180	2.679
5.422	1.180	2.679
5.426	1.180	2.679
5.424	1.181	2.679
5.425	1.181	2.680
5.423	1.181	2.679
5.425	1.181	2.679
5.422	1.181	2.679
5.425	1.181	2.680
5.424	1.181	2.679
5.424	1.181	2.679
5.424	1.181	2.678
5.423	1.180	2.678
5.423	1.181	2.678
5.423	1.180	2.679
5.424	1.181	2.680
5.424	1.181	2.679
5.422	1.181	2.679
5.424	1.180	2.680
5.424	1.181	2.678
5.423	1.180	2.679
5.423	1.181	2.679
5.422	1.181	2.680
5.427	1.181	2.680
5.425	1.180	2.679
5.424	1.180	2.679
5.423	1.180	2.679
5.426	1.181	2.680
5.424	1.180	2.679
5.425	1.180	2.681
5.423	1.180	2.679
5.424	1.180	2.679
5.424	1.180	2.678
5.423	1.181	2.679
5.424	1.180	2.679
5.424	1.180	2.678
5.424	1.181	2.680
5.423	1.180	2.680
5.422	1.181	2.679
5.425	1.181	2.680
5.424	1.180	2.679
5.425	1.181	2.679
5.424	1.180	2.680
5.426	1.181	2.680
